Operating Revenue (In Thousands of Dollars $000) (All U.S. Carriers - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2021,2,35097612,3570739,3870582,3146913,1567057,47252904
2021,3,41134472,4043858,5132636,3216892,1644222,55172080
2021,4,43667323,4330499,5381293,3471123,1780386,58630624
2021,TOTAL,142900128,14138642,17789220,12575478,6325633,193729101
2022,1,40743886,4587336,5084879,3423807,1640775,55480683
2022,2,54943645,5541106,8779855,3727903,1931675,74924184
2022,3,52861628,5526055,10340757,4021704,1859866,74610009
2022,4,53231071,5732063,8046981,4122577,1700562,72833253
2022,TOTAL,201780229,21386560,32252472,15295992,7132878,277848130
2023,1,49305494,6446569,6929778,4137178,1370609,68243671
2023,2,55054275,5939476,10900282,4352861,1650005,77952153
2023,3,53096725,5468395,11713416,4419905,1617899,76381001
2023,4,53743992,5817183,8586350,4739057,1736604,74693632
2023,TOTAL,211200487,23671623,38129825,17649001,6375117,297270457
2024,1,50748924,6737978,7009508,4747529,1494589,70815072
2024,2,59353886,5889873,11226727,4886258,1706142,83149253
2024,3,61568577,5452219,11869470,5587733,1651509,86218912
2024,TOTAL,171671387,18080070,30105706,15221519,4852239,240183237
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
